method,auac_pos,auac_neg,alpha
GNNExplainer,-4.480823040008545,10.067672729492188,0.0
Gradient-based,-4.937328020731608,10.41943073272705,0.0
CAM,-4.965220928192139,10.19549560546875,0.0
GNNExplainer,-4.731784820556641,9.799437522888184,0.05
Gradient-based,-4.937328020731608,10.41943073272705,0.05
CAM,-4.965220928192139,10.19549560546875,0.05
GNNExplainer,-4.875566482543945,9.782755851745604,0.1
Gradient-based,-4.937328020731608,10.41943073272705,0.1
CAM,-4.965220928192139,10.19549560546875,0.1
GNNExplainer,-4.625941753387451,9.875093460083008,0.15
Gradient-based,-4.937328020731608,10.41943073272705,0.15
CAM,-4.965220928192139,10.19549560546875,0.15
GNNExplainer,-4.645053386688232,9.895302772521973,0.2
Gradient-based,-4.937328020731608,10.41943073272705,0.2
CAM,-4.965220928192139,10.19549560546875,0.2
GNNExplainer,-4.849268913269043,9.97416877746582,0.25
Gradient-based,-4.937328020731608,10.41943073272705,0.25
CAM,-4.965220928192139,10.19549560546875,0.25
GNNExplainer,-4.968372344970703,9.929994583129885,0.3
Gradient-based,-4.937328020731608,10.41943073272705,0.3
CAM,-4.965220928192139,10.19549560546875,0.3
GNNExplainer,-4.7124857902526855,10.01607608795166,0.35
Gradient-based,-4.937328020731608,10.41943073272705,0.35
CAM,-4.965220928192139,10.19549560546875,0.35
GNNExplainer,-4.687862396240234,10.158336639404297,0.4
Gradient-based,-4.937328020731608,10.41943073272705,0.4
CAM,-4.965220928192139,10.19549560546875,0.4
GNNExplainer,-4.680750370025635,10.069912910461426,0.45
Gradient-based,-4.937328020731608,10.41943073272705,0.45
CAM,-4.965220928192139,10.19549560546875,0.45
GNNExplainer,-4.653750896453857,9.972148895263672,0.5
Gradient-based,-4.937328020731608,10.41943073272705,0.5
CAM,-4.965220928192139,10.19549560546875,0.5
GNNExplainer,-4.605739593505859,9.971818923950195,0.55
Gradient-based,-4.937328020731608,10.41943073272705,0.55
CAM,-4.965220928192139,10.19549560546875,0.55
GNNExplainer,-4.5625529289245605,9.874371528625488,0.6000000000000001
Gradient-based,-4.937328020731608,10.41943073272705,0.6000000000000001
CAM,-4.965220928192139,10.19549560546875,0.6000000000000001
GNNExplainer,-4.557615280151367,9.830273628234863,0.65
Gradient-based,-4.937328020731608,10.41943073272705,0.65
CAM,-4.965220928192139,10.19549560546875,0.65
GNNExplainer,-4.538754940032959,9.789332389831545,0.7000000000000001
Gradient-based,-4.937328020731608,10.41943073272705,0.7000000000000001
CAM,-4.965220928192139,10.19549560546875,0.7000000000000001
GNNExplainer,-4.501225471496582,9.683910369873049,0.75
Gradient-based,-4.937328020731608,10.41943073272705,0.75
CAM,-4.965220928192139,10.19549560546875,0.75
GNNExplainer,-4.40631103515625,9.60734748840332,0.8
Gradient-based,-4.937328020731608,10.41943073272705,0.8
CAM,-4.965220928192139,10.19549560546875,0.8
GNNExplainer,-4.38792610168457,9.473624229431152,0.8500000000000001
Gradient-based,-4.937328020731608,10.41943073272705,0.8500000000000001
CAM,-4.965220928192139,10.19549560546875,0.8500000000000001
GNNExplainer,-4.379070281982422,9.501741409301758,0.9
Gradient-based,-4.937328020731608,10.41943073272705,0.9
CAM,-4.965220928192139,10.19549560546875,0.9
GNNExplainer,-4.373942852020264,9.46029281616211,0.95
Gradient-based,-4.937328020731608,10.41943073272705,0.95
CAM,-4.965220928192139,10.19549560546875,0.95
GNNExplainer,-4.4371113777160645,9.06705093383789,1.0
Gradient-based,-4.937328020731608,10.41943073272705,1.0
CAM,-4.965220928192139,10.19549560546875,1.0
