method,auac_pos,auac_neg,alpha
GNNExplainer,4.311038970947266,5.466901302337647,0.0
Gradient-based,3.8960186413356235,4.810844171614874,0.0
CAM,4.163518905639648,5.518571853637695,0.0
GNNExplainer,4.182789325714111,5.306133270263672,0.05
Gradient-based,3.8960186413356235,4.810844171614874,0.05
CAM,4.163518905639648,5.518571853637695,0.05
GNNExplainer,4.112297534942627,5.183997631072998,0.1
Gradient-based,3.8960186413356235,4.810844171614874,0.1
CAM,4.163518905639648,5.518571853637695,0.1
GNNExplainer,4.060908317565918,5.098039150238037,0.15
Gradient-based,3.8960186413356235,4.810844171614874,0.15
CAM,4.163518905639648,5.518571853637695,0.15
GNNExplainer,4.040254592895508,5.0454630851745605,0.2
Gradient-based,3.8960186413356235,4.810844171614874,0.2
CAM,4.163518905639648,5.518571853637695,0.2
GNNExplainer,4.0071001052856445,4.9849162101745605,0.25
Gradient-based,3.8960186413356235,4.810844171614874,0.25
CAM,4.163518905639648,5.518571853637695,0.25
GNNExplainer,3.9639174938201904,4.940744400024414,0.3
Gradient-based,3.8960186413356235,4.810844171614874,0.3
CAM,4.163518905639648,5.518571853637695,0.3
GNNExplainer,3.941887855529785,4.90961503982544,0.35
Gradient-based,3.8960186413356235,4.810844171614874,0.35
CAM,4.163518905639648,5.518571853637695,0.35
GNNExplainer,3.9314944744110103,4.899607181549072,0.4
Gradient-based,3.8960186413356235,4.810844171614874,0.4
CAM,4.163518905639648,5.518571853637695,0.4
GNNExplainer,3.9253571033477774,4.912296295166016,0.45
Gradient-based,3.8960186413356235,4.810844171614874,0.45
CAM,4.163518905639648,5.518571853637695,0.45
GNNExplainer,3.914548873901367,4.890939712524414,0.5
Gradient-based,3.8960186413356235,4.810844171614874,0.5
CAM,4.163518905639648,5.518571853637695,0.5
GNNExplainer,3.9082086086273193,4.874111175537109,0.55
Gradient-based,3.8960186413356235,4.810844171614874,0.55
CAM,4.163518905639648,5.518571853637695,0.55
GNNExplainer,3.895388126373291,4.8578619956970215,0.6000000000000001
Gradient-based,3.8960186413356235,4.810844171614874,0.6000000000000001
CAM,4.163518905639648,5.518571853637695,0.6000000000000001
GNNExplainer,3.884068012237549,4.851249694824219,0.65
Gradient-based,3.8960186413356235,4.810844171614874,0.65
CAM,4.163518905639648,5.518571853637695,0.65
GNNExplainer,3.882152318954468,4.847860336303711,0.7000000000000001
Gradient-based,3.8960186413356235,4.810844171614874,0.7000000000000001
CAM,4.163518905639648,5.518571853637695,0.7000000000000001
GNNExplainer,3.8766815662384033,4.843631744384766,0.75
Gradient-based,3.8960186413356235,4.810844171614874,0.75
CAM,4.163518905639648,5.518571853637695,0.75
GNNExplainer,3.873760938644409,4.838636875152588,0.8
Gradient-based,3.8960186413356235,4.810844171614874,0.8
CAM,4.163518905639648,5.518571853637695,0.8
GNNExplainer,3.868718862533569,4.818261623382568,0.8500000000000001
Gradient-based,3.8960186413356235,4.810844171614874,0.8500000000000001
CAM,4.163518905639648,5.518571853637695,0.8500000000000001
GNNExplainer,3.864583730697632,4.813776016235352,0.9
Gradient-based,3.8960186413356235,4.810844171614874,0.9
CAM,4.163518905639648,5.518571853637695,0.9
GNNExplainer,3.863969326019287,4.810457229614258,0.95
Gradient-based,3.8960186413356235,4.810844171614874,0.95
CAM,4.163518905639648,5.518571853637695,0.95
GNNExplainer,3.856765985488892,4.810559749603272,1.0
Gradient-based,3.8960186413356235,4.810844171614874,1.0
CAM,4.163518905639648,5.518571853637695,1.0
