method,aupc_pos,aupc_neg,alpha
GNNExplainer,13.31495475769043,6.6934123039245605,0.0
Gradient-based,13.628777776445661,6.642405101231167,0.0
CAM,12.977669715881348,6.538634777069092,0.0
GNNExplainer,12.13325309753418,6.537680149078369,0.05
Gradient-based,13.628777776445661,6.642405101231167,0.05
CAM,12.977669715881348,6.538634777069092,0.05
GNNExplainer,11.682480812072754,6.493006706237793,0.1
Gradient-based,13.628777776445661,6.642405101231167,0.1
CAM,12.977669715881348,6.538634777069092,0.1
GNNExplainer,11.33823585510254,6.471212863922119,0.15
Gradient-based,13.628777776445661,6.642405101231167,0.15
CAM,12.977669715881348,6.538634777069092,0.15
GNNExplainer,10.961383819580078,6.481717586517334,0.2
Gradient-based,13.628777776445661,6.642405101231167,0.2
CAM,12.977669715881348,6.538634777069092,0.2
GNNExplainer,10.6564302444458,6.507917881011963,0.25
Gradient-based,13.628777776445661,6.642405101231167,0.25
CAM,12.977669715881348,6.538634777069092,0.25
GNNExplainer,10.445145606994627,6.59402322769165,0.3
Gradient-based,13.628777776445661,6.642405101231167,0.3
CAM,12.977669715881348,6.538634777069092,0.3
GNNExplainer,10.288312911987305,6.587018013000488,0.35
Gradient-based,13.628777776445661,6.642405101231167,0.35
CAM,12.977669715881348,6.538634777069092,0.35
GNNExplainer,10.193633079528809,6.572254657745361,0.4
Gradient-based,13.628777776445661,6.642405101231167,0.4
CAM,12.977669715881348,6.538634777069092,0.4
GNNExplainer,10.164847373962402,6.599470138549805,0.45
Gradient-based,13.628777776445661,6.642405101231167,0.45
CAM,12.977669715881348,6.538634777069092,0.45
GNNExplainer,10.123700141906738,6.5677690505981445,0.5
Gradient-based,13.628777776445661,6.642405101231167,0.5
CAM,12.977669715881348,6.538634777069092,0.5
GNNExplainer,10.09333038330078,6.514837741851807,0.55
Gradient-based,13.628777776445661,6.642405101231167,0.55
CAM,12.977669715881348,6.538634777069092,0.55
GNNExplainer,10.063965797424316,6.5314459800720215,0.6000000000000001
Gradient-based,13.628777776445661,6.642405101231167,0.6000000000000001
CAM,12.977669715881348,6.538634777069092,0.6000000000000001
GNNExplainer,10.04678726196289,6.417917251586914,0.65
Gradient-based,13.628777776445661,6.642405101231167,0.65
CAM,12.977669715881348,6.538634777069092,0.65
GNNExplainer,10.024707794189451,6.3815131187438965,0.7000000000000001
Gradient-based,13.628777776445661,6.642405101231167,0.7000000000000001
CAM,12.977669715881348,6.538634777069092,0.7000000000000001
GNNExplainer,10.02568817138672,6.380344867706299,0.75
Gradient-based,13.628777776445661,6.642405101231167,0.75
CAM,12.977669715881348,6.538634777069092,0.75
GNNExplainer,10.023778915405272,6.3752217292785645,0.8
Gradient-based,13.628777776445661,6.642405101231167,0.8
CAM,12.977669715881348,6.538634777069092,0.8
GNNExplainer,9.998294830322266,6.3561859130859375,0.8500000000000001
Gradient-based,13.628777776445661,6.642405101231167,0.8500000000000001
CAM,12.977669715881348,6.538634777069092,0.8500000000000001
GNNExplainer,9.985130310058594,6.314620494842529,0.9
Gradient-based,13.628777776445661,6.642405101231167,0.9
CAM,12.977669715881348,6.538634777069092,0.9
GNNExplainer,9.986512184143066,6.261207103729248,0.95
Gradient-based,13.628777776445661,6.642405101231167,0.95
CAM,12.977669715881348,6.538634777069092,0.95
GNNExplainer,9.97734546661377,6.261162281036377,1.0
Gradient-based,13.628777776445661,6.642405101231167,1.0
CAM,12.977669715881348,6.538634777069092,1.0
