method,aupc_pos,aupc_neg,alpha
GNNExplainer,3.6909193992614746,4.133743762969971,0.0
Gradient-based,3.961416562398275,4.668814477466402,0.0
CAM,3.4161880016326904,3.885396957397461,0.0
GNNExplainer,3.5457968711853027,3.9760830402374263,0.05
Gradient-based,3.961416562398275,4.668814477466402,0.05
CAM,3.4161880016326904,3.885396957397461,0.05
GNNExplainer,3.50310492515564,3.938295602798462,0.1
Gradient-based,3.961416562398275,4.668814477466402,0.1
CAM,3.4161880016326904,3.885396957397461,0.1
GNNExplainer,3.4765987396240234,3.9174964427948,0.15
Gradient-based,3.961416562398275,4.668814477466402,0.15
CAM,3.4161880016326904,3.885396957397461,0.15
GNNExplainer,3.463637351989746,3.8930094242095943,0.2
Gradient-based,3.961416562398275,4.668814477466402,0.2
CAM,3.4161880016326904,3.885396957397461,0.2
GNNExplainer,3.4572317600250244,3.888055086135864,0.25
Gradient-based,3.961416562398275,4.668814477466402,0.25
CAM,3.4161880016326904,3.885396957397461,0.25
GNNExplainer,3.445252656936645,3.887661933898926,0.3
Gradient-based,3.961416562398275,4.668814477466402,0.3
CAM,3.4161880016326904,3.885396957397461,0.3
GNNExplainer,3.444142818450928,3.882094144821167,0.35
Gradient-based,3.961416562398275,4.668814477466402,0.35
CAM,3.4161880016326904,3.885396957397461,0.35
GNNExplainer,3.4320638179779053,3.877344131469727,0.4
Gradient-based,3.961416562398275,4.668814477466402,0.4
CAM,3.4161880016326904,3.885396957397461,0.4
GNNExplainer,3.4376935958862305,3.872701168060303,0.45
Gradient-based,3.961416562398275,4.668814477466402,0.45
CAM,3.4161880016326904,3.885396957397461,0.45
GNNExplainer,3.4354496002197266,3.865647554397583,0.5
Gradient-based,3.961416562398275,4.668814477466402,0.5
CAM,3.4161880016326904,3.885396957397461,0.5
GNNExplainer,3.4308152198791504,3.859480857849121,0.55
Gradient-based,3.961416562398275,4.668814477466402,0.55
CAM,3.4161880016326904,3.885396957397461,0.55
GNNExplainer,3.428656101226806,3.865113019943237,0.6000000000000001
Gradient-based,3.961416562398275,4.668814477466402,0.6000000000000001
CAM,3.4161880016326904,3.885396957397461,0.6000000000000001
GNNExplainer,3.41606068611145,3.862238883972168,0.65
Gradient-based,3.961416562398275,4.668814477466402,0.65
CAM,3.4161880016326904,3.885396957397461,0.65
GNNExplainer,3.40817666053772,3.855953931808472,0.7000000000000001
Gradient-based,3.961416562398275,4.668814477466402,0.7000000000000001
CAM,3.4161880016326904,3.885396957397461,0.7000000000000001
GNNExplainer,3.410141706466675,3.8518991470336914,0.75
Gradient-based,3.961416562398275,4.668814477466402,0.75
CAM,3.4161880016326904,3.885396957397461,0.75
GNNExplainer,3.410020351409912,3.852021217346192,0.8
Gradient-based,3.961416562398275,4.668814477466402,0.8
CAM,3.4161880016326904,3.885396957397461,0.8
GNNExplainer,3.4002554416656494,3.848304510116577,0.8500000000000001
Gradient-based,3.961416562398275,4.668814477466402,0.8500000000000001
CAM,3.4161880016326904,3.885396957397461,0.8500000000000001
GNNExplainer,3.398185968399048,3.853081464767456,0.9
Gradient-based,3.961416562398275,4.668814477466402,0.9
CAM,3.4161880016326904,3.885396957397461,0.9
GNNExplainer,3.396852493286133,3.850828886032105,0.95
Gradient-based,3.961416562398275,4.668814477466402,0.95
CAM,3.4161880016326904,3.885396957397461,0.95
GNNExplainer,3.3934924602508545,3.8523082733154297,1.0
Gradient-based,3.961416562398275,4.668814477466402,1.0
CAM,3.4161880016326904,3.885396957397461,1.0
