method,acc,auc,alpha
GNNExplainer,0.8704,0.88595,0.0
Gradient-based,0.9523999999999999,0.9723,0.0
CAM,0.8812000000000001,0.9135,0.0
GNNExplainer,0.8424,0.8704500000000001,0.05
Gradient-based,0.9523999999999999,0.9723,0.05
CAM,0.8812000000000001,0.9135,0.05
GNNExplainer,0.8303999999999999,0.8602000000000001,0.1
Gradient-based,0.9523999999999999,0.9723,0.1
CAM,0.8812000000000001,0.9135,0.1
GNNExplainer,0.8212,0.85635,0.15000000000000002
Gradient-based,0.9523999999999999,0.9723,0.15000000000000002
CAM,0.8812000000000001,0.9135,0.15000000000000002
GNNExplainer,0.8164,0.8528999999999999,0.2
Gradient-based,0.9523999999999999,0.9723,0.2
CAM,0.8812000000000001,0.9135,0.2
GNNExplainer,0.8179999999999998,0.8502000000000001,0.25
Gradient-based,0.9523999999999999,0.9723,0.25
CAM,0.8812000000000001,0.9135,0.25
GNNExplainer,0.8180000000000001,0.84655,0.30000000000000004
Gradient-based,0.9523999999999999,0.9723,0.30000000000000004
CAM,0.8812000000000001,0.9135,0.30000000000000004
GNNExplainer,0.8151999999999999,0.8425,0.35000000000000003
Gradient-based,0.9523999999999999,0.9723,0.35000000000000003
CAM,0.8812000000000001,0.9135,0.35000000000000003
GNNExplainer,0.8128,0.8399,0.4
Gradient-based,0.9523999999999999,0.9723,0.4
CAM,0.8812000000000001,0.9135,0.4
GNNExplainer,0.8119999999999998,0.83745,0.45
Gradient-based,0.9523999999999999,0.9723,0.45
CAM,0.8812000000000001,0.9135,0.45
GNNExplainer,0.8103999999999999,0.8356,0.5
Gradient-based,0.9523999999999999,0.9723,0.5
CAM,0.8812000000000001,0.9135,0.5
GNNExplainer,0.8096,0.83185,0.55
Gradient-based,0.9523999999999999,0.9723,0.55
CAM,0.8812000000000001,0.9135,0.55
GNNExplainer,0.8079999999999999,0.8289,0.6000000000000001
Gradient-based,0.9523999999999999,0.9723,0.6000000000000001
CAM,0.8812000000000001,0.9135,0.6000000000000001
GNNExplainer,0.8075999999999999,0.8289,0.65
Gradient-based,0.9523999999999999,0.9723,0.65
CAM,0.8812000000000001,0.9135,0.65
GNNExplainer,0.8072,0.8288499999999999,0.7000000000000001
Gradient-based,0.9523999999999999,0.9723,0.7000000000000001
CAM,0.8812000000000001,0.9135,0.7000000000000001
GNNExplainer,0.8064,0.8288499999999999,0.75
Gradient-based,0.9523999999999999,0.9723,0.75
CAM,0.8812000000000001,0.9135,0.75
GNNExplainer,0.8064,0.8286000000000001,0.8
Gradient-based,0.9523999999999999,0.9723,0.8
CAM,0.8812000000000001,0.9135,0.8
GNNExplainer,0.8064,0.82795,0.8500000000000001
Gradient-based,0.9523999999999999,0.9723,0.8500000000000001
CAM,0.8812000000000001,0.9135,0.8500000000000001
GNNExplainer,0.8059999999999999,0.8277500000000001,0.9
Gradient-based,0.9523999999999999,0.9723,0.9
CAM,0.8812000000000001,0.9135,0.9
GNNExplainer,0.8059999999999999,0.82765,0.9500000000000001
Gradient-based,0.9523999999999999,0.9723,0.9500000000000001
CAM,0.8812000000000001,0.9135,0.9500000000000001
GNNExplainer,0.8059999999999999,0.8271999999999999,1.0
Gradient-based,0.9523999999999999,0.9723,1.0
CAM,0.8812000000000001,0.9135,1.0
